#  FirstLayer_H  LastLayer_H NHits_H  AverageZP_H Thrust_H  PID_Angle_H  PID_Front_H  PID_LLR_M_H  FirstLayer_L  LastLayer_L  NHits_L  AverageZP_L  Thrust_L  PID_Angle_L  PID_Front_L  PID_LLR_M_L  Energy_As  Angle_Bet  Distance_Bet   Sig   Bg
4.420007996318162297e-04 7.514013593740875852e-03 1.701703078582492493e-02 6.750244609992290812e-01 2.115593953360124329e-04 2.579045272798472475e-03 2.856087617000897957e-05 1.172968727239404735e-02 6.630011994477243717e-04 5.967010795029519671e-03 1.989003598343173224e-03 6.797824891070657349e-01 2.168066962290014505e-04 2.579045272798472475e-03 2.856087617000897957e-05 -4.101771840591251703e-03 2.099164341637009903e-04 1.609400935596979536e-04 2.858034851523675868e-01 0.000000000000000000e+00 1.000000000000000000e+00
8.051676955847789823e-04 5.904563100955045364e-03 7.514898492124603979e-03 4.143546211730665396e-01 2.484509984104430196e-04 1.541543849339110234e-02 1.694443208650344045e-05 1.196861838166846624e-02 3.489060014200708743e-03 6.709730796539824238e-03 3.489060014200708743e-03 8.285381978886676713e-01 2.670468294405908675e-04 1.541543849339110234e-02 1.694443208650344045e-05 5.916823657844946793e-03 9.255365086254573677e-05 3.226348019760684276e-04 3.755257311205688064e-01 0.000000000000000000e+00 1.000000000000000000e+00
3.327814884627588315e-04 4.658940838478623642e-03 6.988411257717935463e-03 6.214456358277770098e-01 2.859907472774526633e-04 2.424927757582240329e-02 2.485962245314878201e-04 5.374315546941712575e-03 3.327814884627588315e-04 6.322848280792417799e-03 4.991722326941382473e-03 7.791523472832743158e-01 3.143148113831322854e-04 2.424927757582240329e-02 2.485962245314878201e-04 8.842337928288430959e-03 1.524133892655620101e-04 3.367483769178302756e-04 7.285406423255874619e-02 0.000000000000000000e+00 1.000000000000000000e+00
3.318844049967883394e-04 2.655075239974306715e-03 5.310150479948613431e-03 8.287983303782296973e-01 3.157549888561469358e-04 2.486318624533099403e-02 4.094076237379631265e-05 5.394573575469671645e-03 6.637688099935766788e-04 1.991306429980730253e-03 1.327537619987153358e-03 5.479411526496975604e-01 3.279572500209018541e-04 2.486318624533099403e-02 4.094076237379631265e-05 -4.287113482701963851e-03 2.906632334892102578e-04 4.539269628970778311e-04 1.073683254406410381e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.157608318020266813e-02 2.234665757949562057e-02 3.082297597171809733e-03 8.175794376498225491e-01 7.539662863224313788e-04 6.932845618305744084e-02 1.295576677940991862e-03 -2.407401568167066765e-03 1.926435998232381083e-02 2.388780637808152543e-02 7.705743992929524333e-03 3.005240157242514698e-01 7.337314649416379776e-04 6.932845618305744084e-02 1.295576677940991862e-03 -8.097288256698259232e-03 8.336073851551159276e-07 9.677502095030719774e-04 4.791492721353443063e-01 0.000000000000000000e+00 1.000000000000000000e+00
1.068252382479046442e-02 1.226511994698164382e-02 5.934735458216924484e-03 2.015172421966704430e-01 3.641163171568754099e-04 3.097531749759738218e-02 1.061648208861142462e-04 2.321685484597871361e-03 3.165192244382359667e-03 4.352139336025744216e-03 1.978245152738974683e-03 5.982213341882659519e-01 3.921669234299438381e-04 3.097531749759738218e-02 1.061648208861142462e-04 8.530340675698853611e-03 8.272831317219729293e-05 5.159336553413897651e-04 7.740747466275894606e-01 0.000000000000000000e+00 1.000000000000000000e+00
1.450048052691309654e-03 8.216938965250754345e-03 6.283541561662341762e-03 7.613886214206581071e-01 2.328252738576520040e-04 8.802326747567692719e-03 2.087456550573223851e-04 5.429248651515362727e-03 2.416746754485516162e-03 3.141770780831170881e-03 9.666987017942065084e-04 5.536766814526317138e-01 2.370380742976685386e-04 8.802326747567692719e-03 2.087456550573223851e-04 5.326408826871740273e-04 2.234329501083572218e-04 5.441503974307358629e-04 3.367766086685970994e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.721197596888030499e-04 4.898155674398455006e-03 1.034055086817451535e-02 5.702197724662309009e-01 2.502128944949357859e-04 1.876215809078394040e-02 9.373317509546245355e-05 7.457692636570320902e-03 2.721197596888030607e-03 3.265437116265636382e-03 1.088479038755212200e-03 8.125699842007666485e-01 2.639606568741738020e-04 1.876215809078394040e-02 9.373317509546245355e-05 4.171857967357930908e-03 2.121300606701994587e-04 5.420640307467979903e-04 1.168402272106347783e-01 0.000000000000000000e+00 1.000000000000000000e+00
3.407056928156187970e-04 2.384939849709331525e-03 5.110585392234282334e-03 7.345614737104740888e-01 3.278086195197763703e-04 2.442126141849077642e-02 1.231110243311686440e-03 2.965599315107321065e-03 3.407056928156187970e-04 1.703528464078094039e-03 1.703528464078094039e-03 6.268984747807385682e-01 3.407056928156187970e-04 2.442126141849077642e-02 1.231110243311686440e-03 -6.032787119206029988e-03 1.794244080435795246e-04 7.978010498239059608e-04 2.571730791819554773e-01 0.000000000000000000e+00 1.000000000000000000e+00
6.548369222035296897e-04 1.637092305508824333e-03 2.946766149915883929e-03 7.153729613163277712e-01 3.041078055380863968e-04 2.347127363653809737e-02 1.395153309465358500e-04 -7.298245900942835606e-04 3.274184611017648449e-04 2.291929227712354022e-03 2.619347688814118759e-03 6.338821406930167379e-01 3.268931509227732232e-04 2.347127363653809737e-02 1.395153309465358500e-04 8.543397353731338809e-04 9.551182864122581399e-05 2.892798092390941171e-04 2.920745615458896771e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.861934783865683673e-04 3.889547827092546938e-03 2.917160870319410095e-03 6.803467245491553461e-01 4.661133473937682532e-04 2.129227842911787794e-02 1.099920368088717498e-05 1.242517122990366429e-02 4.861934783865683673e-04 2.430967391932841674e-03 2.430967391932841674e-03 7.234558958392137695e-01 4.704420737898873470e-04 2.129227842911787794e-02 1.099920368088717498e-05 -2.223382224400912604e-04 2.679561034592764859e-04 4.724034755203944196e-04 1.124370065729821261e-01 0.000000000000000000e+00 1.000000000000000000e+00
7.528548512084008368e-03 1.129282276812601168e-02 5.377534651488577282e-03 6.861734215299424289e-01 5.227201368278493535e-04 2.849887567037833261e-02 1.318329238608949685e-03 2.972337472674405501e-03 5.377534651488577715e-04 3.226520790893146196e-03 3.764274256042004184e-03 6.861734215299424289e-01 5.169852112234227292e-04 2.849887567037833261e-02 1.318329238608949685e-03 2.872378998166991420e-03 3.576959129280167624e-04 3.632998955636795087e-04 2.375886012015342719e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.991070654081440064e-04 1.547231902765246192e-02 1.746874728928504011e-02 7.244182192847442581e-01 4.106557604728715825e-04 3.420477346369873994e-02 2.027667871963536781e-04 9.450191001422617379e-03 1.497321196224431911e-03 3.493749457857007936e-03 1.996428261632576025e-03 6.044186562092623838e-01 4.760647895194461865e-04 3.420477346369873994e-02 2.027667871963536781e-04 5.659551698564098572e-03 4.690610696241063939e-04 2.281568627207313904e-04 3.269114244679089398e-01 0.000000000000000000e+00 1.000000000000000000e+00
