#     Row        sigBg  FirstLaye  LastLayer      NHits  AverageZP     Thrust  PID_Angle  PID_Front  PID_LLR_M  FirstLaye  LastLayer  NHits_Low  AverageZP  Thrust_Lo  PID_Angle  PID_Front  PID_LLR_M  Energy_As  Angle_Bet  Distance_ 
# 
2.000000000000000000e+01 -9.990000000000000000e+02 2.000000000000000000e+00 3.400000000000000000e+01 7.700000000000000000e+01 3.054403800000000047e+03 9.572806000000000370e-01 1.166986699999999999e+01 1.292345000000000022e-01 5.307541200000000003e+01 3.000000000000000000e+00 2.700000000000000000e+01 9.000000000000000000e+00 3.075933300000000145e+03 9.810240000000000071e-01 1.166986699999999999e+01 1.292345000000000022e-01 -1.856002000000000152e+01 9.498463999999999796e-01 7.282343999999999484e-01 1.293226100000000088e+03
2.100000000000000000e+01 -9.990000000000000000e+02 3.000000000000000000e+00 2.200000000000000000e+01 2.800000000000000000e+01 1.543857099999999946e+03 9.257115000000000204e-01 5.743687400000000309e+01 6.313380000000000380e-02 4.459425699999999892e+01 1.300000000000000000e+01 2.500000000000000000e+01 1.300000000000000000e+01 3.087076900000000023e+03 9.949983000000000022e-01 5.743687400000000309e+01 6.313380000000000380e-02 2.204568199999999933e+01 3.448486000000000051e-01 1.202115299999999998e+00 1.399183299999999917e+03
2.200000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+00 1.400000000000000000e+01 2.100000000000000000e+01 1.867428499999999985e+03 8.593950000000000200e-01 7.286846900000000460e+01 7.470253999999999506e-01 1.614968299999999957e+01 1.000000000000000000e+00 1.900000000000000000e+01 1.500000000000000000e+01 2.341333200000000033e+03 9.445080999999999616e-01 7.286846900000000460e+01 7.470253999999999506e-01 2.657100300000000104e+01 4.579984000000000277e-01 1.011920399999999942e+00 2.189246300000000076e+02
2.300000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+00 8.000000000000000000e+00 1.600000000000000000e+01 2.497250000000000000e+03 9.514004999999999823e-01 7.491519900000000121e+01 1.233584999999999959e-01 1.625437499999999957e+01 2.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00 1.651000000000000000e+03 9.881670999999999649e-01 7.491519900000000121e+01 1.233584999999999959e-01 -1.291749000000000080e+01 8.757966000000000362e-01 1.367726100000000056e+00 3.235112100000000055e+02
2.400000000000000000e+01 -9.990000000000000000e+02 2.800000000000000000e+01 2.900000000000000000e+01 4.000000000000000000e+00 1.061000000000000000e+03 9.784471000000000140e-01 8.996984100000000240e+01 1.681312899999999999e+00 -3.124165000000000081e+00 2.500000000000000000e+01 3.100000000000000000e+01 1.000000000000000000e+01 3.900000000000000000e+02 9.521876999999999702e-01 8.996984100000000240e+01 1.681312899999999999e+00 -1.050811999999999991e+01 1.081799999999999949e-03 1.255881599999999931e+00 6.218079300000000558e+02
2.500000000000000000e+01 -9.990000000000000000e+02 2.700000000000000000e+01 3.100000000000000000e+01 1.500000000000000000e+01 5.093333400000000211e+02 9.203012999999999888e-01 7.828988599999999565e+01 2.683307999999999804e-01 5.868042899999999840e+00 8.000000000000000000e+00 1.100000000000000000e+01 5.000000000000000000e+00 1.512000000000000000e+03 9.911990000000000522e-01 7.828988599999999565e+01 2.683307999999999804e-01 2.156037299999999846e+01 2.090952000000000088e-01 1.304018499999999969e+00 1.956468200000000024e+03
2.600000000000000000e+01 -9.990000000000000000e+02 6.000000000000000000e+00 3.400000000000000000e+01 2.600000000000000000e+01 3.150469200000000001e+03 9.633829999999999893e-01 3.642221399999999676e+01 8.637464999999999726e-01 2.246511200000000130e+01 1.000000000000000000e+01 1.300000000000000000e+01 4.000000000000000000e+00 2.291000000000000000e+03 9.808147000000000393e-01 3.642221399999999676e+01 8.637464999999999726e-01 2.203958200000000200e+00 9.245195000000000496e-01 2.251582200000000089e+00 1.393512199999999893e+03
2.700000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+00 1.800000000000000000e+01 3.800000000000000000e+01 2.095473599999999806e+03 9.194955000000000211e-01 6.894816500000000303e+01 3.444555999999999729e-01 2.740592099999999931e+01 1.000000000000000000e+01 1.200000000000000000e+01 4.000000000000000000e+00 2.986074900000000071e+03 9.700164999999999482e-01 6.894816500000000303e+01 3.444555999999999729e-01 1.533096300000000056e+01 7.795467000000000368e-01 1.992005400000000037e+00 4.293706099999999992e+02
2.800000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+00 7.000000000000000000e+00 1.500000000000000000e+01 2.156000000000000000e+03 9.621459999999999457e-01 7.167846600000000024e+01 3.613412600000000197e+00 8.704284599999999372e+00 1.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 1.840000000000000000e+03 1.000000000000000000e+00 7.167846600000000024e+01 3.613412600000000197e+00 -1.770673999999999992e+01 5.266258000000000328e-01 2.341613499999999792e+00 7.548247199999999566e+02
2.900000000000000000e+01 -9.990000000000000000e+02 2.000000000000000000e+00 5.000000000000000000e+00 9.000000000000000000e+00 2.184888899999999921e+03 9.288047000000000386e-01 7.168585899999999356e+01 4.261071000000000164e-01 -2.229026999999999870e+00 1.000000000000000000e+00 7.000000000000000000e+00 8.000000000000000000e+00 1.936000000000000000e+03 9.983956000000000497e-01 7.168585899999999356e+01 4.261071000000000164e-01 2.609320600000000212e+00 2.917118000000000211e-01 8.835171000000000552e-01 8.920528199999999970e+02
